name,url,processed_date
666ghj/BettaFish,https://github.com/666ghj/BettaFish,2025-11-06
HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,2025-11-06
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,2025-11-06
nocobase/nocobase,https://github.com/nocobase/nocobase,2025-11-06
mudler/LocalAI,https://github.com/mudler/LocalAI,2025-11-07
prometheus/alertmanager,https://github.com/prometheus/alertmanager,2025-11-08
usestrix/strix,https://github.com/usestrix/strix,2025-11-08
umami-software/umami,https://github.com/umami-software/umami,2025-11-08
lima-vm/lima,https://github.com/lima-vm/lima,2025-11-08
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2025-11-08
localstack/localstack,https://github.com/localstack/localstack,2025-11-08
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,2025-11-09
airweave-ai/airweave,https://github.com/airweave-ai/airweave,2025-11-09
thinking-machines-lab/tinker-cookbook,https://github.com/thinking-machines-lab/tinker-cookbook,2025-11-09
mui/material-ui,https://github.com/mui/material-ui,2025-11-09
google/adk-go,https://github.com/google/adk-go,2025-11-10
TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,2025-11-11
bobeff/open-source-games,https://github.com/bobeff/open-source-games,2025-11-11
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,2025-11-12
serverless-dns/serverless-dns,https://github.com/serverless-dns/serverless-dns,2025-11-12
yichuan-w/LEANN,https://github.com/yichuan-w/LEANN,2025-11-12
yeongpin/cursor-free-vip,https://github.com/yeongpin/cursor-free-vip,2025-11-12
nvm-sh/nvm,https://github.com/nvm-sh/nvm,2025-11-12
traefik/traefik,https://github.com/traefik/traefik,2025-11-12
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,2025-11-13
volcengine/verl,https://github.com/volcengine/verl,2025-11-13
GibsonAI/Memori,https://github.com/GibsonAI/Memori,2025-11-13
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2025-11-13
microsoft/call-center-ai,https://github.com/microsoft/call-center-ai,2025-11-14
MustardChef/WSABuilds,https://github.com/MustardChef/WSABuilds,2025-11-14
playcanvas/engine,https://github.com/playcanvas/engine,2025-11-15
iptv-org/iptv,https://github.com/iptv-org/iptv,2025-11-16
Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,2025-11-16
milvus-io/milvus,https://github.com/milvus-io/milvus,2025-11-16
wolfpld/tracy,https://github.com/wolfpld/tracy,2025-11-17
MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,2025-12-03
basecamp/fizzy,https://github.com/basecamp/fizzy,2025-12-05
rustfs/rustfs,https://github.com/rustfs/rustfs,2025-12-06
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,2025-12-07
NVIDIA/cutile-python,https://github.com/NVIDIA/cutile-python,2025-12-08
sinelaw/fresh,https://github.com/sinelaw/fresh,2025-12-09
KaijuEngine/kaiju,https://github.com/KaijuEngine/kaiju,2025-12-10
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,2025-12-11
Tencent/WeKnora,https://github.com/Tencent/WeKnora,2025-12-12
block/goose,https://github.com/block/goose,2025-12-13
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,2025-12-14
simstudioai/sim,https://github.com/simstudioai/sim,2025-12-15
ZJU-LLMs/Foundations-of-LLMs,https://github.com/ZJU-LLMs/Foundations-of-LLMs,2025-12-16
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,2025-12-17
C4illin/ConvertX,https://github.com/C4illin/ConvertX,2025-12-18
anthropics/claude-code,https://github.com/anthropics/claude-code,2025-12-19
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,2025-12-20
exo-explore/exo,https://github.com/exo-explore/exo,2025-12-21
GreyDGL/PentestGPT,https://github.com/GreyDGL/PentestGPT,2025-12-22
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,2025-12-23
rendercv/rendercv,https://github.com/rendercv/rendercv,2025-12-24
twitter/the-algorithm,https://github.com/twitter/the-algorithm,2025-12-25
xerrors/Yuxi-Know,https://github.com/xerrors/Yuxi-Know,2025-12-26
langgenius/dify,https://github.com/langgenius/dify,2025-12-27
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2025-12-28
